customer_id,region,acquisition_channel,membership_tier,preferred_category,tenure_months,orders,spend,avg_basket,discount_share,return_rate,support_tickets,days_since_order,email_engagement,satisfaction_score,lifetime_value,churned,latent_segment,recommended_action
C-00016,Tasmania,organic,silver,packs,2,4,230.48,57.62,0.157,0.16,1,19,0.775,8.7,262.75,0,Emerging-shoppers,Second-purchase education sequence
C-00017,New South Wales,retail-store,none,footwear,23,12,1002.25,83.52,0.135,0.037,1,30,0.47,6.6,1353.04,0,Frequent-regulars,Free shipping threshold reminder
C-00018,Western Australia,referral,silver,footwear,30,6,436.36,72.73,0.201,0.1,1,32,0.603,7.8,619.63,0,Frequent-regulars,Free shipping threshold reminder
C-00019,Victoria,paid-social,none,apparel,27,7,542.57,77.51,0.391,0.164,4,97,0.099,3.8,754.17,1,Lapsing-customers,Win-back offer with service recovery
C-00020,New South Wales,referral,bronze,jackets,2,6,368.97,61.5,0.304,0.059,1,19,0.698,7.7,420.63,0,Emerging-shoppers,Second-purchase education sequence
C-00021,Tasmania,organic,none,recovery,24,14,1243.68,88.83,0.121,0.051,0,24,0.4,7.4,1691.4,0,Frequent-regulars,Free shipping threshold reminder
C-00022,New South Wales,paid-social,silver,camp,22,9,680.8,75.64,0.267,0.113,1,118,0.191,6.8,912.27,1,Lapsing-customers,Win-back offer with service recovery
C-00023,South Australia,referral,gold,packs,43,23,3957.26,172.05,0.154,0,0,7,0.965,8.8,6133.75,0,VIP-loyalists,Early access and premium bundle
C-00024,South Australia,retail-store,silver,apparel,33,18,2362.52,131.25,0.165,0.124,0,23,0.857,10,3425.65,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00025,South Australia,search,silver,camp,23,7,536.94,76.71,0.341,0.146,4,101,0.185,6.8,724.87,1,Lapsing-customers,Win-back offer with service recovery
C-00026,Queensland,paid-social,gold,jackets,36,43,7690.62,178.85,0.115,0.018,0,1,0.847,8.6,11382.12,0,VIP-loyalists,Early access and premium bundle
C-00027,Victoria,organic,silver,apparel,33,22,2755.82,125.26,0.129,0,2,20,0.525,8.5,3995.94,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00028,Victoria,search,none,accessories,11,4,295.06,73.76,0.212,0.067,0,23,0.605,8.8,362.92,0,Emerging-shoppers,Second-purchase education sequence
C-00029,Victoria,search,none,packs,17,15,1152.55,76.84,0.263,0.155,0,25,0.548,8.1,1486.79,0,Frequent-regulars,Free shipping threshold reminder
C-00030,South Australia,organic,gold,apparel,30,11,1873.02,170.27,0.078,0.068,0,6,0.98,8.9,2659.69,0,VIP-loyalists,Early access and premium bundle
C-00031,Western Australia,search,bronze,apparel,17,5,354.63,70.93,0.208,0.078,1,17,0.608,7.8,457.47,1,Emerging-shoppers,Second-purchase education sequence
C-00032,Queensland,paid-social,gold,hydration,33,33,5747.42,174.16,0.12,0.054,0,13,0.968,9.7,8333.76,0,VIP-loyalists,Early access and premium bundle
C-00033,Queensland,referral,none,recovery,16,8,667.37,83.42,0.166,0.144,2,24,0.465,8.7,854.23,0,Frequent-regulars,Free shipping threshold reminder
C-00034,New South Wales,referral,none,apparel,27,6,459.25,76.54,0.164,0.063,1,43,0.71,8.6,638.36,0,Frequent-regulars,Free shipping threshold reminder
C-00035,New South Wales,retail-store,bronze,footwear,20,15,1305.69,87.05,0.161,0.044,1,33,0.562,9.3,1723.51,0,Frequent-regulars,Free shipping threshold reminder
C-00036,New South Wales,retail-store,silver,recovery,38,17,2341.94,137.76,0.062,0.068,0,18,0.689,8.1,3512.91,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00037,Queensland,paid-social,none,recovery,19,10,1001.75,100.17,0.318,0.063,1,18,0.561,8.1,1312.29,1,Frequent-regulars,Free shipping threshold reminder
C-00038,Queensland,search,none,hydration,2,2,143.99,72,0.226,0.052,1,18,0.548,7.9,164.15,0,Emerging-shoppers,Second-purchase education sequence
C-00039,Tasmania,search,bronze,apparel,29,15,1231.78,82.12,0.072,0.134,0,25,0.695,6.6,1736.81,0,Frequent-regulars,Free shipping threshold reminder
C-00040,Victoria,search,silver,accessories,20,13,1177.42,90.57,0.237,0.156,2,31,0.337,9.1,1554.19,0,Frequent-regulars,Free shipping threshold reminder
C-00041,New South Wales,retail-store,bronze,hydration,24,10,755.7,75.57,0.124,0.101,1,20,0.55,8.4,1027.75,0,Frequent-regulars,Free shipping threshold reminder
C-00042,Tasmania,organic,bronze,apparel,16,12,985.85,82.15,0.185,0.044,1,28,0.504,7.4,1261.89,0,Frequent-regulars,Free shipping threshold reminder
C-00043,Victoria,paid-social,none,accessories,4,5,327.43,65.49,0.266,0.078,2,25,0.685,8,379.82,0,Emerging-shoppers,Second-purchase education sequence
C-00044,New South Wales,organic,gold,packs,33,15,1972.93,131.53,0,0.063,2,18,0.638,8.2,2860.75,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00045,Western Australia,search,none,recovery,25,8,601.47,75.18,0.192,0.153,3,136,0.223,4,824.01,1,Lapsing-customers,Win-back offer with service recovery
C-00046,New South Wales,retail-store,silver,apparel,29,17,2174.7,127.92,0.113,0.053,1,20,0.607,7.6,3066.33,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00047,Tasmania,paid-social,bronze,accessories,6,7,485.31,69.33,0.168,0.075,1,25,0.632,9.5,572.67,0,Emerging-shoppers,Second-purchase education sequence
C-00048,South Australia,retail-store,silver,camp,22,13,1115.23,85.79,0.296,0.126,3,43,0.517,7.5,1494.41,1,Frequent-regulars,Free shipping threshold reminder
C-00049,Victoria,paid-social,none,footwear,27,4,295.59,73.9,0.367,0.189,4,131,0.03,5.5,410.87,1,Lapsing-customers,Win-back offer with service recovery
C-00050,Western Australia,organic,silver,apparel,26,7,519.78,74.25,0.319,0.214,3,142,0.347,6.7,717.3,1,Lapsing-customers,Win-back offer with service recovery
C-00051,Queensland,search,bronze,accessories,35,5,371.74,74.35,0.322,0.16,2,105,0.02,6.7,546.46,1,Lapsing-customers,Win-back offer with service recovery
C-00052,New South Wales,search,silver,accessories,25,6,482.31,80.39,0.235,0.218,2,119,0.316,5.4,660.76,1,Lapsing-customers,Win-back offer with service recovery
C-00053,Victoria,search,silver,camp,31,33,5350.8,162.15,0.063,0.001,0,1,0.875,9.2,7651.64,0,VIP-loyalists,Early access and premium bundle
C-00054,Tasmania,organic,bronze,jackets,26,5,370.51,74.1,0.311,0.123,5,81,0.356,7.2,511.3,1,Lapsing-customers,Win-back offer with service recovery
C-00055,Victoria,search,bronze,packs,29,12,1047.07,87.26,0.177,0.071,0,28,0.666,7.5,1476.37,0,Frequent-regulars,Free shipping threshold reminder
C-00056,Victoria,retail-store,none,jackets,9,5,380.25,76.05,0.21,0.109,0,22,0.673,7.9,460.1,0,Emerging-shoppers,Second-purchase education sequence
C-00057,South Australia,paid-social,none,packs,28,4,256.79,64.2,0.316,0.162,3,109,0.136,5.4,359.51,1,Lapsing-customers,Win-back offer with service recovery
C-00058,Victoria,paid-social,gold,packs,28,14,2058.29,147.02,0.104,0.067,0,21,0.608,8.7,2881.61,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00059,Victoria,search,none,hydration,2,4,296.05,74.01,0.25,0.064,2,24,0.716,7.8,337.5,0,Emerging-shoppers,Second-purchase education sequence
C-00060,New South Wales,organic,none,recovery,21,7,570.09,81.44,0.252,0.199,1,115,0.201,6.6,758.22,0,Lapsing-customers,Win-back offer with service recovery
C-00061,South Australia,referral,silver,accessories,21,6,506.66,84.44,0.291,0.161,3,168,0.134,6.1,673.86,1,Lapsing-customers,Win-back offer with service recovery
C-00062,Victoria,retail-store,none,packs,23,8,588.19,73.52,0.265,0.147,5,90,0.192,6.2,794.06,1,Lapsing-customers,Win-back offer with service recovery
C-00063,Victoria,paid-social,none,footwear,21,12,752.21,62.68,0.29,0.076,1,28,0.493,7.8,1000.44,0,Frequent-regulars,Free shipping threshold reminder
C-00064,New South Wales,referral,silver,packs,25,14,1828.2,130.59,0.158,0.062,2,19,0.768,7.8,2504.63,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00065,South Australia,referral,silver,jackets,19,20,2559.86,127.99,0.149,0.024,0,15,0.557,8.9,3353.42,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00066,Tasmania,retail-store,bronze,accessories,22,11,863.85,78.53,0.226,0.095,1,25,0.625,7,1157.56,0,Frequent-regulars,Free shipping threshold reminder
C-00067,Tasmania,referral,none,footwear,24,7,577.2,82.46,0.371,0.096,3,133,0.33,4.9,784.99,0,Lapsing-customers,Win-back offer with service recovery
C-00068,Queensland,referral,silver,camp,26,14,1301.08,92.93,0.24,0.104,3,35,0.619,8.1,1795.49,0,Frequent-regulars,Free shipping threshold reminder
C-00069,Tasmania,retail-store,none,jackets,18,12,937.84,78.15,0.199,0.038,0,40,0.541,7.1,1219.19,0,Frequent-regulars,Free shipping threshold reminder
C-00070,Tasmania,search,none,jackets,22,10,861.65,86.16,0.241,0.089,2,36,0.594,8,1154.61,0,Frequent-regulars,Free shipping threshold reminder
C-00071,Western Australia,referral,none,footwear,16,8,581.29,72.66,0.23,0.044,1,29,0.59,7.4,744.05,0,Frequent-regulars,Free shipping threshold reminder
C-00072,Queensland,paid-social,none,footwear,29,9,698.9,77.66,0.299,0.15,4,121,0.104,6.1,985.45,1,Lapsing-customers,Win-back offer with service recovery
C-00073,South Australia,referral,silver,footwear,20,12,1039.22,86.6,0.204,0.081,1,42,0.556,8.1,1371.77,0,Frequent-regulars,Free shipping threshold reminder
C-00074,New South Wales,search,none,accessories,25,2,146.72,73.36,0.299,0.113,3,131,0.241,6.5,201.01,1,Lapsing-customers,Win-back offer with service recovery
C-00075,South Australia,referral,none,accessories,30,12,928.25,77.35,0.153,0.127,1,29,0.627,7.9,1318.12,0,Frequent-regulars,Free shipping threshold reminder
C-00076,Tasmania,retail-store,bronze,footwear,20,4,328.31,82.08,0.342,0.153,3,99,0.034,6.8,433.37,1,Lapsing-customers,Win-back offer with service recovery
C-00077,Tasmania,referral,bronze,recovery,15,12,1046.28,87.19,0.206,0.048,2,28,0.621,7.2,1328.78,0,Frequent-regulars,Free shipping threshold reminder
C-00078,Queensland,organic,none,accessories,26,7,597.21,85.32,0.236,0.156,2,95,0.27,5.9,824.15,0,Lapsing-customers,Win-back offer with service recovery
C-00079,Victoria,paid-social,silver,apparel,19,14,1235.68,88.26,0.08,0.022,2,26,0.522,6.9,1618.74,0,Frequent-regulars,Free shipping threshold reminder
C-00080,Victoria,retail-store,silver,jackets,9,4,300.41,75.1,0.276,0.117,0,15,0.61,7.4,363.5,0,Emerging-shoppers,Second-purchase education sequence
C-00081,Tasmania,paid-social,none,apparel,28,11,865.23,78.66,0.153,0.075,0,24,0.697,8.2,1211.32,0,Frequent-regulars,Free shipping threshold reminder
C-00082,Queensland,retail-store,none,apparel,20,10,789.01,78.9,0.157,0,0,39,0.401,8.9,1041.49,1,Frequent-regulars,Free shipping threshold reminder
C-00083,New South Wales,referral,gold,hydration,28,13,1718.79,132.21,0.185,0.06,2,17,0.683,7.7,2406.31,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00084,Western Australia,search,gold,recovery,32,25,4538.85,181.55,0.084,0.091,1,6,0.928,9,6535.94,0,VIP-loyalists,Early access and premium bundle
C-00085,Western Australia,paid-social,silver,packs,29,8,680.84,85.1,0.202,0.086,1,28,0.629,7.3,959.98,0,Frequent-regulars,Free shipping threshold reminder
C-00086,Western Australia,paid-social,bronze,apparel,17,4,302.56,75.64,0.26,0.176,3,112,0.232,5.9,390.3,1,Lapsing-customers,Win-back offer with service recovery
C-00087,Victoria,retail-store,none,footwear,7,4,302.08,75.52,0.253,0.096,2,22,0.566,8,359.48,0,Emerging-shoppers,Second-purchase education sequence
C-00088,New South Wales,search,none,packs,18,12,941,78.42,0.186,0.088,1,31,0.651,6.6,1223.3,0,Frequent-regulars,Free shipping threshold reminder
C-00089,New South Wales,paid-social,silver,camp,14,4,280.22,70.05,0.179,0.085,1,19,0.865,9.1,353.08,0,Emerging-shoppers,Second-purchase education sequence
C-00090,South Australia,referral,none,camp,10,4,319.2,79.8,0.22,0.074,0,15,0.57,9.2,389.42,0,Emerging-shoppers,Second-purchase education sequence
C-00091,New South Wales,referral,silver,camp,26,7,487.86,69.69,0.216,0.18,2,121,0.166,5.7,673.25,1,Lapsing-customers,Win-back offer with service recovery
C-00092,New South Wales,retail-store,bronze,jackets,12,18,1426.87,79.27,0.19,0.065,2,28,0.371,7.3,1769.32,1,Frequent-regulars,Free shipping threshold reminder
C-00093,New South Wales,retail-store,bronze,recovery,25,6,424.84,70.81,0.425,0.164,1,167,0.203,7.1,582.03,1,Lapsing-customers,Win-back offer with service recovery
C-00094,New South Wales,referral,none,footwear,10,4,318.35,79.59,0.262,0.07,0,21,0.685,7.2,388.39,0,Emerging-shoppers,Second-purchase education sequence
C-00095,Queensland,retail-store,none,apparel,19,12,938.92,78.24,0.132,0.063,1,28,0.465,7.8,1229.99,0,Frequent-regulars,Free shipping threshold reminder
C-00096,South Australia,paid-social,silver,packs,28,14,1895.83,135.42,0.182,0.007,0,20,0.815,7.9,2654.16,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00097,South Australia,paid-social,silver,apparel,19,12,907.02,75.58,0.232,0.118,1,23,0.611,7.8,1188.2,0,Frequent-regulars,Free shipping threshold reminder
C-00098,Queensland,referral,silver,packs,4,3,153.86,51.29,0.307,0.107,1,17,0.617,7.2,178.48,1,Emerging-shoppers,Second-purchase education sequence
C-00099,South Australia,retail-store,gold,hydration,30,12,1509.96,125.83,0.114,0,1,20,0.755,8.8,2144.14,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00100,New South Wales,retail-store,none,accessories,12,10,753.45,75.34,0.145,0.024,1,38,0.714,8.1,934.28,1,Frequent-regulars,Free shipping threshold reminder
C-00101,Tasmania,retail-store,silver,jackets,29,18,2484.83,138.05,0.039,0,2,22,0.777,8.6,3503.61,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00102,New South Wales,paid-social,bronze,apparel,30,7,618.83,88.4,0.28,0.095,0,129,0.425,5.1,878.74,1,Lapsing-customers,Win-back offer with service recovery
C-00103,New South Wales,retail-store,none,recovery,2,4,273.2,68.3,0.284,0.098,2,13,0.562,8.2,311.45,0,Emerging-shoppers,Second-purchase education sequence
C-00104,Western Australia,retail-store,none,recovery,12,12,957.67,79.81,0.18,0.083,0,31,0.606,7.3,1187.51,0,Frequent-regulars,Free shipping threshold reminder
C-00105,Western Australia,referral,none,jackets,15,4,264.92,66.23,0.324,0.125,2,161,0.25,7,336.45,1,Lapsing-customers,Win-back offer with service recovery
C-00106,Western Australia,referral,silver,recovery,31,19,2551.69,134.3,0.165,0.079,1,18,0.727,9.4,3648.92,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00107,Victoria,retail-store,silver,recovery,37,31,5098.51,164.47,0.053,0.063,0,4,0.761,8.4,7596.78,0,VIP-loyalists,Early access and premium bundle
C-00108,Western Australia,paid-social,silver,footwear,7,1,93.03,93.03,0.206,0.123,1,21,0.74,10,110.71,0,Emerging-shoppers,Second-purchase education sequence
C-00109,Victoria,referral,silver,recovery,23,18,2438.33,135.46,0.068,0.13,1,10,0.757,8.5,3291.75,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00110,Western Australia,organic,none,packs,3,5,289.72,57.94,0.282,0.081,1,23,0.51,5.8,333.18,0,Emerging-shoppers,Second-purchase education sequence
C-00111,Western Australia,referral,bronze,camp,25,6,468.11,78.02,0.333,0.197,2,84,0.341,5.6,641.31,0,Lapsing-customers,Win-back offer with service recovery
C-00112,Queensland,referral,none,footwear,27,9,728.47,80.94,0.191,0,2,23,0.708,8.3,1012.57,0,Frequent-regulars,Free shipping threshold reminder
C-00113,Queensland,retail-store,silver,recovery,15,3,180.17,60.06,0.207,0.104,1,22,0.694,8.1,228.82,0,Emerging-shoppers,Second-purchase education sequence
C-00114,Queensland,referral,none,packs,22,6,483.28,80.55,0.377,0.179,1,109,0.322,6.6,647.6,1,Lapsing-customers,Win-back offer with service recovery
C-00115,Tasmania,referral,bronze,hydration,23,5,371.36,74.27,0.366,0.171,1,138,0.046,7.2,501.34,0,Lapsing-customers,Win-back offer with service recovery
C-00116,New South Wales,retail-store,silver,footwear,17,6,482.76,80.46,0.381,0.124,3,156,0.15,5,622.76,1,Lapsing-customers,Win-back offer with service recovery
C-00117,Western Australia,retail-store,silver,footwear,4,4,288.34,72.08,0.351,0.004,4,22,0.553,7.2,334.47,0,Emerging-shoppers,Second-purchase education sequence
C-00118,Tasmania,retail-store,silver,footwear,8,3,215.44,71.81,0.144,0.066,1,21,0.8,7.7,258.53,0,Emerging-shoppers,Second-purchase education sequence
C-00119,Western Australia,retail-store,silver,hydration,24,16,2105.45,131.59,0.144,0.083,1,22,0.793,8.2,2863.41,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00120,Victoria,search,bronze,recovery,23,5,409.85,81.97,0.241,0.124,2,131,0.192,3.9,553.3,1,Lapsing-customers,Win-back offer with service recovery
C-00121,Western Australia,search,none,camp,24,9,708.76,78.75,0.319,0.122,3,128,0.124,5.9,963.91,1,Lapsing-customers,Win-back offer with service recovery
C-00122,Tasmania,paid-social,none,apparel,26,6,478.65,79.77,0.322,0.117,3,142,0.216,7.3,660.54,1,Lapsing-customers,Win-back offer with service recovery
C-00123,Victoria,search,bronze,footwear,24,6,479.33,79.89,0.363,0.152,5,114,0.077,5.7,651.89,1,Lapsing-customers,Win-back offer with service recovery
C-00124,Queensland,retail-store,none,footwear,26,15,1217.93,81.2,0.242,0.046,0,36,0.596,6.4,1680.74,0,Frequent-regulars,Free shipping threshold reminder
C-00125,Tasmania,search,none,recovery,22,13,1047.49,80.58,0.195,0.032,1,28,0.68,7.2,1403.64,0,Frequent-regulars,Free shipping threshold reminder
C-00126,New South Wales,retail-store,gold,accessories,28,20,3321.1,166.06,0.149,0.079,1,4,0.844,7.9,4649.54,0,VIP-loyalists,Early access and premium bundle
C-00127,Victoria,referral,bronze,footwear,24,14,1140.66,81.48,0.135,0,3,42,0.59,7.4,1551.3,1,Frequent-regulars,Free shipping threshold reminder
C-00128,Queensland,search,silver,jackets,11,13,1132.47,87.11,0.119,0.055,1,28,0.578,8,1392.94,0,Frequent-regulars,Free shipping threshold reminder
C-00129,Queensland,retail-store,silver,footwear,33,4,288.14,72.03,0.213,0.136,4,143,0.201,6.8,417.8,1,Lapsing-customers,Win-back offer with service recovery
C-00130,Western Australia,referral,none,packs,7,3,203.12,67.71,0.199,0.078,1,21,0.623,8.8,241.71,0,Emerging-shoppers,Second-purchase education sequence
C-00131,Western Australia,retail-store,gold,hydration,30,18,2388.62,132.7,0.176,0.098,3,18,0.855,8,3391.84,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00132,Tasmania,referral,silver,camp,28,17,2189.94,128.82,0.188,0.045,1,16,0.789,8,3065.92,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00133,Victoria,referral,none,footwear,20,7,487.77,69.68,0.185,0.099,0,20,0.587,8.2,643.86,0,Emerging-shoppers,Second-purchase education sequence
C-00134,Victoria,referral,gold,footwear,34,20,2484.63,124.23,0.237,0.049,3,11,0.807,9.3,3627.56,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00135,Queensland,organic,silver,packs,11,10,890.06,89.01,0.192,0.053,1,40,0.56,7.4,1094.77,0,Frequent-regulars,Free shipping threshold reminder
C-00136,New South Wales,referral,silver,camp,27,15,1352.38,90.16,0.219,0.075,1,31,0.527,7.1,1879.81,0,Frequent-regulars,Free shipping threshold reminder
C-00137,Victoria,search,silver,jackets,18,14,1179.02,84.22,0.121,0.101,1,33,0.794,7.7,1532.73,0,Frequent-regulars,Free shipping threshold reminder
C-00138,Western Australia,referral,silver,footwear,26,22,3040.24,138.19,0.121,0.001,0,17,0.786,8.6,4195.53,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00139,New South Wales,retail-store,bronze,accessories,22,10,818.78,81.88,0.223,0.001,2,30,0.553,7.1,1097.17,0,Frequent-regulars,Free shipping threshold reminder
C-00140,Tasmania,referral,silver,apparel,27,14,1855.6,132.54,0.121,0,1,16,0.695,7.8,2579.28,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00141,Tasmania,retail-store,silver,camp,8,4,262.13,65.53,0.235,0.15,0,24,0.695,7.5,314.56,0,Emerging-shoppers,Second-purchase education sequence
C-00142,Victoria,paid-social,bronze,apparel,8,7,478.48,68.35,0.177,0.112,0,25,0.717,7.7,574.18,1,Emerging-shoppers,Second-purchase education sequence
C-00143,Tasmania,retail-store,silver,accessories,39,31,5628.98,181.58,0,0.056,1,12,0.846,8.5,8499.76,0,VIP-loyalists,Early access and premium bundle
C-00144,New South Wales,paid-social,none,camp,2,5,388.95,77.79,0.248,0.087,1,25,0.684,7.4,443.4,0,Emerging-shoppers,Second-purchase education sequence
C-00145,Western Australia,search,silver,camp,13,3,223.19,74.4,0.133,0.118,0,14,0.547,6.4,278.99,1,Emerging-shoppers,Second-purchase education sequence
C-00146,Queensland,organic,none,camp,4,4,279.5,69.88,0.138,0.041,0,24,0.565,8.4,324.22,0,Emerging-shoppers,Second-purchase education sequence
C-00147,Western Australia,search,none,recovery,25,9,754.01,83.78,0.217,0.157,0,24,0.695,8.3,1032.99,1,Frequent-regulars,Free shipping threshold reminder
C-00148,Queensland,referral,none,camp,27,7,604.78,86.4,0.209,0.076,2,39,0.678,7.9,840.64,0,Frequent-regulars,Free shipping threshold reminder
C-00149,New South Wales,search,none,apparel,18,5,296.53,59.31,0.246,0.039,2,24,0.756,8.5,385.49,0,Emerging-shoppers,Second-purchase education sequence
C-00150,Victoria,organic,gold,packs,39,22,3479.45,158.16,0.037,0.014,1,7,0.98,8,5253.97,1,VIP-loyalists,Early access and premium bundle
C-00151,Victoria,referral,bronze,accessories,20,14,1197.36,85.53,0.118,0.104,2,32,0.576,7.5,1580.52,0,Frequent-regulars,Free shipping threshold reminder
C-00152,Victoria,retail-store,silver,jackets,30,20,2832.38,141.62,0.096,0.118,1,20,0.669,7.7,4021.98,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00153,Victoria,search,none,apparel,24,15,1310.14,87.34,0.158,0.079,3,36,0.631,7.1,1781.79,0,Frequent-regulars,Free shipping threshold reminder
C-00154,Queensland,referral,bronze,recovery,5,2,162.63,81.31,0.221,0.097,2,24,0.737,7.8,190.28,0,Emerging-shoppers,Second-purchase education sequence
C-00155,Tasmania,retail-store,silver,camp,31,8,638.46,79.81,0.26,0.16,1,91,0.176,5,913,1,Lapsing-customers,Win-back offer with service recovery
C-00156,New South Wales,paid-social,none,hydration,2,4,304.5,76.13,0.208,0.141,0,19,0.635,8.3,347.13,0,Emerging-shoppers,Second-purchase education sequence
C-00157,Western Australia,retail-store,none,packs,2,4,299.02,74.75,0.173,0.043,0,25,0.635,7.4,340.88,0,Emerging-shoppers,Second-purchase education sequence
C-00158,South Australia,search,bronze,hydration,22,13,994.72,76.52,0.23,0.092,1,29,0.397,6.7,1332.92,0,Frequent-regulars,Free shipping threshold reminder
C-00159,New South Wales,referral,none,camp,20,13,1031.84,79.37,0.167,0.073,2,31,0.581,7.6,1362.03,0,Frequent-regulars,Free shipping threshold reminder
C-00160,New South Wales,paid-social,bronze,jackets,29,5,326.93,65.39,0.272,0.152,2,125,0.14,6.9,460.97,0,Lapsing-customers,Win-back offer with service recovery
C-00161,Queensland,search,bronze,jackets,6,8,484.89,60.61,0.208,0.09,0,24,0.62,7.9,572.17,1,Emerging-shoppers,Second-purchase education sequence
C-00162,Queensland,paid-social,silver,packs,21,15,2028.17,135.21,0.119,0.087,5,19,0.67,7.4,2697.47,1,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00163,Tasmania,retail-store,silver,hydration,8,1,96.44,96.44,0.262,0.108,0,12,0.521,8.8,115.73,0,Emerging-shoppers,Second-purchase education sequence
C-00164,Tasmania,referral,none,apparel,6,4,237.16,59.29,0.252,0.111,0,13,0.55,8.3,279.85,0,Emerging-shoppers,Second-purchase education sequence
C-00165,New South Wales,organic,bronze,packs,23,16,1276.06,79.75,0.213,0.098,1,27,0.738,7.4,1722.68,0,Frequent-regulars,Free shipping threshold reminder
C-00166,Queensland,referral,bronze,jackets,20,13,1077.25,82.87,0.145,0.076,3,24,0.553,7.7,1421.97,0,Frequent-regulars,Free shipping threshold reminder
C-00167,Tasmania,referral,none,apparel,2,2,128.79,64.4,0.204,0.058,1,14,0.572,8,146.82,0,Emerging-shoppers,Second-purchase education sequence
C-00168,South Australia,retail-store,none,apparel,24,10,821.66,82.17,0.247,0.057,1,29,0.429,7.9,1117.46,0,Frequent-regulars,Free shipping threshold reminder
C-00169,Tasmania,referral,none,hydration,19,6,418.62,69.77,0.269,0.101,3,123,0.277,5.7,548.39,1,Lapsing-customers,Win-back offer with service recovery
C-00170,Western Australia,referral,silver,jackets,27,20,2433.5,121.67,0.148,0.034,0,21,0.745,8.2,3382.57,0,High-value-loyalists,Loyalty upgrade with category cross-sell
